Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,citescore2017,DOI,Link,Document Type,Access Type,Source,EID
"Polyakova, E.I., Journel, A.G., Polyakov, I.V., Bhatt, U.S.",36729126500;7005926313;7006359209;57204297539;,Changing relationship between the North Atlantic Oscillation and key North Atlantic climate parameters,2006,Geophysical Research Letters,33,3, L03711,,,,41,,10.1029/2005GL024573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645820253&doi=10.1029%2f2005GL024573&partnerID=40&md5=4fbabae81851ff117e0d4675c0669081,Article,Open Access,Scopus,2-s2.0-33645820253
"Delworth, T.L., Dixon, K.W.",6701379896;7102620639;,Have anthropogenic aerosols delayed a greenhouse gas-induced weakening of the North Atlantic thermohaline circulation?,2006,Geophysical Research Letters,33,2, L02606,,,,41,,10.1029/2005GL024980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644785201&doi=10.1029%2f2005GL024980&partnerID=40&md5=b1bda49949f1e4b25c7cc32154a24800,Article,Open Access,Scopus,2-s2.0-33644785201
"Mehrotra, R., Sharma, A.",57203234869;57190818469;,A nonparametric stochastic downscaling framework for daily rainfall at multiple locations,2006,Journal of Geophysical Research Atmospheres,111,15, D15101,,,,40,,10.1029/2005JD006637,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845941692&doi=10.1029%2f2005JD006637&partnerID=40&md5=0749cf4594dabc25436cd9ad28892ce4,Article,Open Access,Scopus,2-s2.0-33845941692
"Lindell, J., Ngo, A., Murphy, R.W.",55948624900;11939750700;7403470344;,Deep genealogies and the mid-peninsular seaway of Baja California,2006,Journal of Biogeography,33,8,,1327,1331,,40,,10.1111/j.1365-2699.2006.01532.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745857667&doi=10.1111%2fj.1365-2699.2006.01532.x&partnerID=40&md5=b4466ae86973a00a84d211e3f2220c1b,Article,Open Access,Scopus,2-s2.0-33745857667
"Rohs, S., Schiller, C., Riese, M., Engel, A., Schmidt, U., Wetter, T., Levin, I., Nakazawa, T., Aoki, S.",8395782400;7006471143;56216562700;7402582556;8667824400;57198383527;7202341740;7201997614;8399270900;,Long-term changes of methane and hydrogen in the stratosphere in the period 1978-2003 and their impact on the abundance of stratospheric water vapor,2006,Journal of Geophysical Research Atmospheres,111,14, D14315,,,,40,,10.1029/2005JD006877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846117135&doi=10.1029%2f2005JD006877&partnerID=40&md5=7d279a27b09164be4eac45dee1b6e654,Article,Open Access,Scopus,2-s2.0-33846117135
"Hamad, H.M.A.",19638693700;,Cancer initiatives in Sudan,2006,Annals of Oncology,17,SUPPL. 8,,viii32,viii36,,40,,10.1093/annonc/mdl985,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745612480&doi=10.1093%2fannonc%2fmdl985&partnerID=40&md5=d445f7c7e8026d7a2d02dfc4bdf41791,Article,Open Access,Scopus,2-s2.0-33745612480
"Giannakopoulos, C., Psiloglou, B.E.",6701432050;6603710859;,"Trends in energy load demand for Athens, Greece: Weather and non-weather related factors",2006,Climate Research,31,1,,97,108,,40,,10.3354/cr031097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746399280&doi=10.3354%2fcr031097&partnerID=40&md5=ebf67cc327d780bc3948c9e7fca6be28,Article,Open Access,Scopus,2-s2.0-33746399280
"Seo, H., Jochum, M., Murtugudde, R., Miller, A.J.",14032006000;7005930509;8884425800;54903097700;,Effect of ocean mesoscale variability on the mean state of tropical Atlantic climate,2006,Geophysical Research Letters,33,9, L09606,,,,40,,10.1029/2005GL025651,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745713495&doi=10.1029%2f2005GL025651&partnerID=40&md5=61f0d2cacab9c7037fb4f38da095c56d,Article,Open Access,Scopus,2-s2.0-33745713495
"Bendix, J., Rollenbeck, R., Göttlicher, D., Cermak, J.",7005742190;55944537900;12795094500;55628589750;,Cloud occurrence and cloud properties in Ecuador,2006,Climate Research,30,2,,133,147,,40,,10.3354/cr030133,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645295482&doi=10.3354%2fcr030133&partnerID=40&md5=411c861e412c1e490283256c492cdbe7,Article,Open Access,Scopus,2-s2.0-33645295482
"Henderson, K., Laube, A., Gäggeler, H.W., Olivier, S., Papina, T., Schwikowski, M.",7102546925;25225516700;7004923073;7006211638;55385778400;7004215477;,"Temporal variations of accumulation and temperature during the past two centuries from Belukha ice core, Siberian Altai",2006,Journal of Geophysical Research Atmospheres,111,3, D03104,,,,40,,10.1029/2005JD005819,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646233803&doi=10.1029%2f2005JD005819&partnerID=40&md5=7b035abbfeb8a851b113b5e8f2dae0fd,Article,Open Access,Scopus,2-s2.0-33646233803
"Piontkovski, S.A., O'Brien, T.D., Umani, S.F., Krupa, E.G., Stuge, T.S., Balymbetov, K.S., Grishaeva, O.V., Kasymov, A.G.",6602165194;15048561800;6701768424;15048204000;15048730700;15047455800;15047949400;15047908400;,Zooplankton and the North Atlantic oscillation: A basin-scale analysis,2006,Journal of Plankton Research,28,11,,1039,1046,,39,,10.1093/plankt/fbl037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750433522&doi=10.1093%2fplankt%2ffbl037&partnerID=40&md5=6a4056d744c661dbe3ec081655600e78,Article,Open Access,Scopus,2-s2.0-33750433522
"Hirota, T., Iwata, Y., Hayashi, M., Suzuki, S., Hamasaki, T., Sameshima, R., Takayabu, I.",10042947300;10039132300;34770501500;55732191500;15044387400;6603176679;56483153400;,"Decreasing soil-frost depth and its relation to climate change in Tokachi, Hokkaido, Japan",2006,Journal of the Meteorological Society of Japan,84,4,,821,833,,39,,10.2151/jmsj.84.821,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750289139&doi=10.2151%2fjmsj.84.821&partnerID=40&md5=99997f2a66852e85505681e294be114b,Article,Open Access,Scopus,2-s2.0-33750289139
"Kucharski, F., Molteni, F., Yoo, J.H.",6603440567;35894581100;12809273900;,SST forcing of decadal Indian Monsoon rainfall variability,2006,Geophysical Research Letters,33,3, L03709,,,,39,,10.1029/2005GL025371,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645829500&doi=10.1029%2f2005GL025371&partnerID=40&md5=0a9278293446b4fd95fcb6932e0c8f0e,Article,Open Access,Scopus,2-s2.0-33645829500
"Kao, S.J., Wu, C.-R., Hsin, Y.-C., Dai, M.",7202174891;8646796700;8507619700;55938314100;,Effects of sea level change on the upstream Kuroshio Current through the Okinawa Trough,2006,Geophysical Research Letters,33,16, L16604,,,,38,,10.1029/2006GL026822,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845654773&doi=10.1029%2f2006GL026822&partnerID=40&md5=22a3840721eb48d550332a7bd1098857,Article,Open Access,Scopus,2-s2.0-33845654773
"Sun, D., Pinker, R.T., Kafatos, M.",7403968786;7005202019;7003811919;,Diurnal temperature range over the United States: A satellite view,2006,Geophysical Research Letters,33,5, L05705,,,,38,,10.1029/2005GL024780,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646339165&doi=10.1029%2f2005GL024780&partnerID=40&md5=12afe357031661f97c183f9ca54fce31,Article,Open Access,Scopus,2-s2.0-33646339165
"Guyot, M., Dickson, C., Paci, C., Furgal, C., Chan, H.M.",8308778500;40461222700;16033787000;56028254300;54790510400;,Local observations of climate change and impacts on traditional food security in two northern Aboriginal communities.,2006,International journal of circumpolar health,65,5,,403,415,,38,,10.3402/ijch.v65i5.18135,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847779650&doi=10.3402%2fijch.v65i5.18135&partnerID=40&md5=ddc66f80ac90b379564bcb1ea9bfe3f1,Article,Open Access,Scopus,2-s2.0-33847779650
"Imhoff, M.L., Bounoua, L.",7006023656;6603940595;,Exploring global patterns of net primary production carbon supply and demand using satellite observations and statistical data,2006,Journal of Geophysical Research Atmospheres,111,22, D22S12,,,,37,,10.1029/2006JD007377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548576916&doi=10.1029%2f2006JD007377&partnerID=40&md5=2e074d55b053b48fcce7a18893febb61,Article,Open Access,Scopus,2-s2.0-34548576916
"Gilman, E.L., Ellison, J., Jungblut, V., Van Lavieren, H., Wilson, L., Areki, F., Brighouse, G., Bungitak, J., Dus, E., Henry, M., Kilman, M., Matthews, E., Sauni Jr., I., Teariki-Ruatu, N., Tukia, S., Yuknavage, K.",7004389607;7102243595;15132405100;15119409800;15119839000;15119094900;15130954000;15119069400;15131048300;15119130300;15119126500;7102967318;15119311300;15119962800;15120164700;36828763800;,Adapting to Pacific Island mangrove responses to sea level rise and climate change,2006,Climate Research,32,3,,161,176,,37,,10.3354/cr032161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751562565&doi=10.3354%2fcr032161&partnerID=40&md5=aff72a525147a15fe34a75beb6cf40dd,Article,Open Access,Scopus,2-s2.0-33751562565
"Thorndycraft, V.R., Barriendos, M., Benito, G., Rico, M., Casas, A.",8902849800;6601979796;7006056987;23089306800;8902849700;,The catastrophic floods of AD 1617 in Catalonia (northeast Spain) and their climatic context,2006,Hydrological Sciences Journal,51,5,,899,912,,37,,10.1623/hysj.51.5.899,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749396607&doi=10.1623%2fhysj.51.5.899&partnerID=40&md5=d8d3f62c5faad3b9a6aaabe0def3f306,Article,Open Access,Scopus,2-s2.0-33749396607
"Liu, Q., Wen, N., Liu, Z.",56003800800;36166130900;55714408100;,An observational study of the impact of the North Pacific SST on the atmosphere,2006,Geophysical Research Letters,33,18, L18611,,,,37,,10.1029/2006GL026082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847370982&doi=10.1029%2f2006GL026082&partnerID=40&md5=87d463e78ff7cd23db63b03677329f1a,Article,Open Access,Scopus,2-s2.0-33847370982
"Watanabe, S., Sato, K., Takahashi, M.",9249627300;55671920100;55918418100;,A general circulation model study of the orographic gravity waves over Antarctica excited by katabatic winds,2006,Journal of Geophysical Research Atmospheres,111,18, D18104,,,,37,,10.1029/2005JD006851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547705657&doi=10.1029%2f2005JD006851&partnerID=40&md5=52cd9a685c319e3c93cb1da08e50c583,Article,Open Access,Scopus,2-s2.0-34547705657
"Zheng, J., Ge, Q., Hao, Z., Wang, W.-C.",7403974748;55681862500;7201992706;7501757094;,Spring phenophases in recent decades over eastern china and its possible link to climate changes,2006,Climatic Change,77,3-4,,449,462,,37,,10.1007/s10584-005-9038-6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33748909725&doi=10.1007%2fs10584-005-9038-6&partnerID=40&md5=8216ef5f551441531d18de79bf862a10,Article,Open Access,Scopus,2-s2.0-33748909725
"Evan, A.T., Heidinger, A.K., Knippertz, P.",8542741400;6603631763;6602999057;,Analysis of winter dust activity off the coast of West Africa using a new 24-year over-water advanced very high resolution radiometer satellite dust climatology,2006,Journal of Geophysical Research Atmospheres,111,12, D12210,,,,37,,10.1029/2005JD006336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750606401&doi=10.1029%2f2005JD006336&partnerID=40&md5=c9dd21d1beec2d1d69278c7ab23c0ab6,Article,Open Access,Scopus,2-s2.0-33750606401
"Robertson, A.W., Kirshner, S., Smyth, P., Charles, S.P., Bates, B.C.",7403044861;6603444824;7006933675;7101696852;7102512629;,Subseasonal-to-interdecadal variability of the Australian monsoon over North Queensland,2006,Quarterly Journal of the Royal Meteorological Society,132,615,,519,542,,37,,10.1256/qj.05.75,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645498511&doi=10.1256%2fqj.05.75&partnerID=40&md5=0288ab96f1abfbe91402e1ebf263a149,Article,Open Access,Scopus,2-s2.0-33645498511
"Woodhouse, C.A., Lukas, J.J.",7101819226;8518825600;,"Drought, Tree Rings and Water Resource Management in Colorado",2006,Canadian Water Resources Journal,31,4,,297,310,,37,,10.4296/cwrj3104297,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847731471&doi=10.4296%2fcwrj3104297&partnerID=40&md5=83a64a82ead84dcace9dc200b9cc8ccc,Article,Open Access,Scopus,2-s2.0-33847731471
"Zhang, H.C., Ming, Q.Z., Lei, G.L., Zhang, W.X., Fan, H.F., Chang, F.Q., Wünnemann, B., Hartmann, K.",55907437800;25628340600;16679208500;55706458400;12792927600;12791775100;6602998124;16679273900;,Dilemma of dating on lacustrine deposits in an hyperarid inland basin of NW China,2006,Radiocarbon,48,2,,219,226,,37,,10.1017/S0033822200066418,https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349303763&doi=10.1017%2fS0033822200066418&partnerID=40&md5=2b95f64d544dc3a18d9197518da5a6a4,Article,Open Access,Scopus,2-s2.0-70349303763
"Bailey, J.D., Harrington, C.A.",7404350683;7203012771;,"Temperature regulation of bud-burst phenology within and among years in a young Douglas-fir (Pseudotsuga menziesii) plantation in western Washington, USA",2006,Tree Physiology,26,4,,421,430,,37,,10.1093/treephys/26.4.421,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646383076&doi=10.1093%2ftreephys%2f26.4.421&partnerID=40&md5=c3718c00e050377624ef1fe27a1a8515,Article,Open Access,Scopus,2-s2.0-33646383076
"McMichael, A.J., Butler, C.D.",57203046736;35483225500;,Emerging health issues: the widening challenge for population health promotion.,2006,Health promotion international,21 Suppl 1,,,15,24,,36,,10.1093/heapro/dal047,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549156481&doi=10.1093%2fheapro%2fdal047&partnerID=40&md5=cad4f3c77e3cf9467f1243ea40579762,Article,Open Access,Scopus,2-s2.0-38549156481
"D'Odorico, P., Laio, F., Ridolfi, L.",7004259223;55397181600;35582655500;,Vegetation patterns induced by random climate fluctuations,2006,Geophysical Research Letters,33,19, L19404,,,,36,,10.1029/2006GL027499,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047194066&doi=10.1029%2f2006GL027499&partnerID=40&md5=a986911d8582dc7ddaca7cf0f035d541,Article,Open Access,Scopus,2-s2.0-34047194066
"van der Schrier, G., Briffa, K.R., Osborn, T.J., Cook, E.R.",6602232676;7003548766;7103033688;7202259586;,Summer moisture availability across North America,2006,Journal of Geophysical Research Atmospheres,111,11, D11102,,,,36,,10.1029/2005JD006745,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746492760&doi=10.1029%2f2005JD006745&partnerID=40&md5=cf3dc0400efb7927f29c2cc0c44eb9bb,Article,Open Access,Scopus,2-s2.0-33746492760
"Ladeau, S.L., Clark, J.S.",6507835181;35354658400;,Pollen production by Pinus taeda growing in elevated atmospheric CO<inf>2</inf>,2006,Functional Ecology,20,3,,541,547,,36,,10.1111/j.1365-2435.2006.01133.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745074687&doi=10.1111%2fj.1365-2435.2006.01133.x&partnerID=40&md5=bb353183e09f04aca022670e92cebe86,Article,Open Access,Scopus,2-s2.0-33745074687
"Li, S., Hoerling, M.P., Peng, S., Weickmann, K.M.",55211425200;7003341036;7403589770;6603975189;,The annular response to tropical Pacific SST forcing,2006,Journal of Climate,19,9,,1802,1819,,36,,10.1091/mbc.E05-04-0333,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33744477364&doi=10.1091%2fmbc.E05-04-0333&partnerID=40&md5=8fd767fd3d68ee7220fbae2fdd3c6db5,Article,Open Access,Scopus,2-s2.0-33744477364
"Banks, H.T., Gregory, J.M.",35986800300;7402520116;,Mechanisms of ocean heat uptake in a coupled climate model and the implications for tracer based predictions of ocean heat uptake,2006,Geophysical Research Letters,33,7, L07608,,,,36,,10.1029/2005GL025352,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646851603&doi=10.1029%2f2005GL025352&partnerID=40&md5=3e07365aac2aba3fd9460a52b628f7e9,Article,Open Access,Scopus,2-s2.0-33646851603
"Anders, A.D., Post, E.",7103265935;7005239042;,Distribution-wide effects of climate on population densities of a declining migratory landbird,2006,Journal of Animal Ecology,75,1,,221,227,,36,,10.1111/j.1365-2656.2006.01034.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645103077&doi=10.1111%2fj.1365-2656.2006.01034.x&partnerID=40&md5=0f8bb40dd09a1201f4265fb4b0c7ea8a,Article,Open Access,Scopus,2-s2.0-33645103077
"De Souza, E.B., Ambrizzi, T.",8609037700;6602469258;,Modulation of the intraseasonal rainfall over tropical Brazil by the Madden-Julian oscillation,2006,International Journal of Climatology,26,13,,1759,1776,,35,,10.1002/joc.1331,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750996158&doi=10.1002%2fjoc.1331&partnerID=40&md5=b073582a712c075ad88528fee62be405,Article,Open Access,Scopus,2-s2.0-33750996158
"Keller, J.K., Bauers, A.K., Bridgham, S.D., Kellogg, L.E., Iversen, C.M.",8897821500;22133433300;7004252716;16642738400;8251200100;,Nutrient control of microbial carbon cycling along an ombrotrophic-minerotrophic peatland gradient,2006,Journal of Geophysical Research: Biogeosciences,111,3, G03006,,,,35,,10.1029/2005JG000152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248594646&doi=10.1029%2f2005JG000152&partnerID=40&md5=1f0625761d83d30b2a6d439f4372e45a,Article,Open Access,Scopus,2-s2.0-34248594646
"Morita, K., Saito, T., Miyakoshi, Y., Fukuwaka, M.-a., Nagasawa, T., Kaeriyama, M.",35269366700;55476972000;7003860591;12244405400;35784748400;6603870481;,"A review of Pacific salmon hatchery programmes on Hokkaido Island, Japan",2006,ICES Journal of Marine Science,63,7,,1353,1363,,35,,10.1016/j.icesjms.2006.03.024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746321250&doi=10.1016%2fj.icesjms.2006.03.024&partnerID=40&md5=b10cb9575ddbed3f28e8089e85816b5c,Article,Open Access,Scopus,2-s2.0-33746321250
"Rühland, K., Phadtare, N.R., Pant, R.K., Sangode, S.J., Smol, J.P.",6602853299;6508224184;23045239000;56843592300;7005505365;,Accelerated melting of Himalayan snow and ice triggers pronounced changes in a valley peatland from northern India,2006,Geophysical Research Letters,33,15, L15709,,,,35,,10.1029/2006GL026704,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845676577&doi=10.1029%2f2006GL026704&partnerID=40&md5=116c21e91d82caa3f240e5417706e124,Article,Open Access,Scopus,2-s2.0-33845676577
"Hall, B.L., Hoelzel, A.R., Baroni, C., Denton, G.H., Le Boeuf, B.J., Overturf, B., Töpf, A.L.",57203106491;7004310137;12039821300;7005427463;57190399551;14038042200;56959093300;,Holocene elephant seal distribution implies warmer-than-present climate in the Ross Sea,2006,Proceedings of the National Academy of Sciences of the United States of America,103,27,,10213,10217,,35,,10.1073/pnas.0604002103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745927884&doi=10.1073%2fpnas.0604002103&partnerID=40&md5=50cc693ed72ea8303f4de14407745d2b,Article,Open Access,Scopus,2-s2.0-33745927884
"Jeong, J.-H., Kim, B.-M., Ho, C.-H., Chen, D., Lim, G.-H.",8855923200;36015299300;7404653593;8284622100;7101939964;,Stratospheric origin of cold surge occurrence in East Asia,2006,Geophysical Research Letters,33,14, L14710,,,,35,,10.1029/2006GL026607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845649300&doi=10.1029%2f2006GL026607&partnerID=40&md5=138911451436e75c8ae18c4248fd4bc8,Article,Open Access,Scopus,2-s2.0-33845649300
"Cunningham, C.A.C., Cavalcanti, I.F.deA.",14037044200;6701534440;,Intraseasonal modes of variability affecting the South Atlantic Convergence Zone,2006,International Journal of Climatology,26,9,,1165,1180,,35,,10.1002/joc.1309,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745877945&doi=10.1002%2fjoc.1309&partnerID=40&md5=d25d78edf76af2947a03990c34be8f93,Article,Open Access,Scopus,2-s2.0-33745877945
"Marszelewski, W., Skowron, R.",7801681528;55310244200;,Ice cover as an indicator of winter air temperature changes: Case study of the Polish Lowland lakes,2006,Hydrological Sciences Journal,51,2,,336,349,,35,,10.1623/hysj.51.2.336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645751550&doi=10.1623%2fhysj.51.2.336&partnerID=40&md5=9cda23ac2bf9eb5bbe6d0d1d666cf80b,Article,Open Access,Scopus,2-s2.0-33645751550
"Samelson, R.M., Agnew, T., Melling, H., Münchow, A.",7004611313;7007108015;6701664419;6601960436;,Evidence for atmospheric control of sea-ice motion through Nares Strait,2006,Geophysical Research Letters,33,2, L02506,,,,35,,10.1029/2005GL025016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644757006&doi=10.1029%2f2005GL025016&partnerID=40&md5=46f5c8f6986ffe09e0970e267223616e,Article,Open Access,Scopus,2-s2.0-33644757006
"De Zolt, S., Lionello, P., Nuhu, A., Tomasin, A.",56619014900;6603693155;13404333000;6602322768;,The disastrous storm of 4 November 1966 on Italy,2006,Natural Hazards and Earth System Science,6,5,,861,879,,35,,10.5194/nhess-6-861-2006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749544351&doi=10.5194%2fnhess-6-861-2006&partnerID=40&md5=c54b8a2c076d96f7cd16301e89aafac3,Article,Open Access,Scopus,2-s2.0-33749544351
"Nagurney, A., Liu, Z., Woolley, T.",7005978186;13004708700;14041004000;,Optimal endogenous carbon taxes for electric power supply chains with power plants,2006,Mathematical and Computer Modelling,44,9-10,,899,916,,34,,10.1016/j.mcm.2006.02.018,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746008825&doi=10.1016%2fj.mcm.2006.02.018&partnerID=40&md5=1c623e809dd2ea944810cca7e9ac28a4,Article,Open Access,Scopus,2-s2.0-33746008825
"Fyfe, J.C.",7005664339;,Southern Ocean warming due to human influence,2006,Geophysical Research Letters,33,19, L19701,,,,34,,10.1029/2006GL027247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047194884&doi=10.1029%2f2006GL027247&partnerID=40&md5=c010368396b0ba4274d0637d6849b1fc,Article,Open Access,Scopus,2-s2.0-34047194884
"Simmonds, P.G., Manning, A.J., Cunnold, D.M., McCulloch, A., O'Doherty, S., Derwent, R.G., Krummel, P.B., Fraser, P.J., Dunse, B., Porter, L.W., Wang, R.H.J., Greally, B.R., Miller, B.R., Salameh, P., Weiss, R.F., Prinn, R.G.",7102204006;35566542600;7004329733;7102710986;6603729725;7006385747;6602579613;7202782061;6506162205;7103245782;35345968200;7801346095;26631984500;6602378882;7404027402;7005942405;,"Global trends, seasonal cycles, and European emissions of dichloromethane, trichloroethene, and tetrachloroethene from the AGAGE observations at Mace Head, Ireland and Cape Grim, Tasmania",2006,Journal of Geophysical Research Atmospheres,111,18, D18304,,,,34,,10.1029/2006JD007082,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249699397&doi=10.1029%2f2006JD007082&partnerID=40&md5=fa5f7cfec1cbc09a5085b8dd3ecbed91,Article,Open Access,Scopus,2-s2.0-34249699397
"Barrett, R.T., Chapdelaine, G., Anker-Nilssen, T., Mosbech, A., Montevecchi, W.A., Reid, J.B., Veit, R.R.",7202350009;6601987902;6603314902;6603296404;7003782139;55724002300;7007017168;,Seabird numbers and prey consumption in the North Atlantic,2006,ICES Journal of Marine Science,63,6,,1145,1158,,34,,10.1016/j.icesjms.2006.04.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745982943&doi=10.1016%2fj.icesjms.2006.04.004&partnerID=40&md5=be89ade9e0dba4a6298a16c186b74617,Article,Open Access,Scopus,2-s2.0-33745982943
"Wolf, A., Akshalov, K., Saliendra, N., Johnson, D.A., Laca, E.A.",14020924000;57193330731;6602866588;7406823069;6603682869;,"Inverse estimation of Vc&lt;inf&gt;max,&lt;/inf&gt; leaf area index, and the Ball-Berry parameter from carbon and energy fluxes",2006,Journal of Geophysical Research Atmospheres,111,8, D08S08,,,,34,,10.1029/2005JD005927,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745265230&doi=10.1029%2f2005JD005927&partnerID=40&md5=40cf8e1b051e08eb0625082890f14af2,Article,Open Access,Scopus,2-s2.0-33745265230
"Han, W., Meehl, G.A., Hu, A.",7401900092;7006518289;7202699757;,Interpretation of tropical thermocline cooling in the Indian and Pacific oceans during recent decades,2006,Geophysical Research Letters,33,23, L23615,,,,33,,10.1029/2006GL027982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548620578&doi=10.1029%2f2006GL027982&partnerID=40&md5=757c899f068b560e4055fba9c19f212c,Article,Open Access,Scopus,2-s2.0-34548620578
"Woodruff, R.E., McMichael, T., Butler, C., Hales, S.",7103001688;6603034876;35483225500;7004550015;,Action on climate change: The health risks of procrastinating,2006,Australian and New Zealand Journal of Public Health,30,6,,567,571,,33,,10.1111/j.1467-842X.2006.tb00788.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846149322&doi=10.1111%2fj.1467-842X.2006.tb00788.x&partnerID=40&md5=1b5d42297ac3b9c0cdfe64dfcf3c6d00,Article,Open Access,Scopus,2-s2.0-33846149322
"Rinke, A., Maslowski, W., Dethloff, K., Clement, J.",6701832491;7003430681;6701915334;7402767930;,Influence of sea ice on the atmosphere: A study with an Arctic atmospheric regional climate model,2006,Journal of Geophysical Research Atmospheres,111,16, D16103,,,,33,,10.1029/2005JD006957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847113332&doi=10.1029%2f2005JD006957&partnerID=40&md5=c3a852e8a3508acbedc6e8c2a2c9e56e,Article,Open Access,Scopus,2-s2.0-33847113332
"Räisänen, J., Ruokolainen, L.",24446327700;16234701300;,Probabilistic forecasts of near-term climate change based on a resampling ensemble technique,2006,"Tellus, Series A: Dynamic Meteorology and Oceanography",58,4,,461,472,,33,,10.1111/j.1600-0870.2006.00189.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746053466&doi=10.1111%2fj.1600-0870.2006.00189.x&partnerID=40&md5=727c720372242f6a29548aaa3442bf5e,Article,Open Access,Scopus,2-s2.0-33746053466
"Atlas, D., Ulbrich, C.",7101940638;7004086443;,Drop size spectra and integral remote sensing parameters in the transition from convective to stratiform rain,2006,Geophysical Research Letters,33,16, L16803,,,,33,,10.1029/2006GL026824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845637850&doi=10.1029%2f2006GL026824&partnerID=40&md5=c69a37120901ce075df9c39d451768d3,Article,Open Access,Scopus,2-s2.0-33845637850
"Chang, Y., Shimada, T., Lee, M.-A., Lu, H.-J., Sakaida, F., Kawamura, H.",12038847300;7402199436;7409102487;7404842488;6602223510;25223207200;,Wintertime sea surface temperature fronts in the Taiwan Strait,2006,Geophysical Research Letters,33,23, L23603,,,,32,,10.1029/2006GL027415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548637409&doi=10.1029%2f2006GL027415&partnerID=40&md5=9338e41f6577eda4acce987e822724cd,Article,Open Access,Scopus,2-s2.0-34548637409
"Atkinson, D.E., Brown, R., Alt, B., Agnew, T., Bourgeois, J., Burgess, M., Duguay, C., Henry, G., Jeffers, S., Koerner, R., Lewkowicz, A.G., McCourt, S., Melling, H., Sharp, M., Smith, S., Walker, A., Wilson, K., Wolfe, S., Woo, M.-K., Young, K.L.",7202372387;55738125200;6701682333;7007108015;7102362242;7201646636;7003726500;7202191313;7005437056;7102706269;7003663731;24468559500;6701664419;7102701564;57202528734;57195255944;56309016200;7201827928;35879381000;7402601194;,"Canadian cryospheric response to an anomalous warm summer: A synthesis of the climate change action fund project "" the state of the Arctic cryosphere during the extreme warm summer of 1998""",2006,Atmosphere - Ocean,44,4,,347,375,,32,,10.3137/ao.440403,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846668757&doi=10.3137%2fao.440403&partnerID=40&md5=bb9cf79ab26950131cc49191f1b7d5cb,Article,Open Access,Scopus,2-s2.0-33846668757
